HR 6630,,17 49 51.50,-37 02 35.9,3.21
HR 5712,Phi2Lup,15 23 09.41,-36 51 31.0,4.54
HR 5987,The Lup,16 06 35.50,-36 48 07.9,4.23
HR 6832,Eta Sgr,18 17 37.61,-36 45 42.1,3.11
HR 2787,,07 18 18.41,-36 44 03.1,4.66
HR 5028,Iot Cen,13 20 35.81,-36 42 43.9,2.75
HR 3270,,08 18 33.29,-36 39 33.8,4.45
HR 5288,5The Cen,14 06 40.99,-36 22 12.0,2.06
HR 5705,Phi1Lup,15 21 48.41,-36 15 41.0,3.56
HR 1195,,03 49 27.31,-36 12 01.1,4.17
HR 3765,Eps Ant,09 29 14.69,-35 57 05.0,4.51
HR 3237,,08 13 29.59,-35 53 58.9,4.78
HR 2040,Bet Col,05 50 57.60,-35 46 05.9,3.12
HR 7029,,18 44 19.39,-35 38 30.8,4.87
HR 1652,Gam1Cae,05 04 24.41,-35 28 59.9,4.55
HR 1862,Eps Col,05 31 12.70,-35 28 14.2,3.87
HR 3438,Bet Pyx,08 40 06.19,-35 18 29.9,3.97
HR 2106,Gam Col,05 57 32.21,-35 16 59.9,4.36
HR 7623,The1Sgr,19 59 44.21,-35 16 35.0,4.37
HR 6166,,16 36 22.51,-35 15 20.2,4.16
HR 5489,,14 44 59.21,-35 11 30.8,4.92
HR 5485,,14 43 39.41,-35 10 25.0,4.05
HR 2256,Kap Col,06 16 33.10,-35 08 26.2,4.37
HR 2937,,07 37 22.10,-34 58 07.0,4.53
HR 1743,Omi Col,05 17 29.09,-34 53 43.1,4.83
HR 4494,Omi Hya,11 40 12.79,-34 44 40.9,4.70
HR 5839,4Psi2Lup,15 42 40.99,-34 42 38.2,4.75
HR 6143,,16 31 22.90,-34 42 15.8,4.23
HR 5192,2 Cen,13 49 26.71,-34 27 02.9,4.19
HR 5820,3Psi1Lup,15 39 46.01,-34 24 42.8,4.67
HR 6879,20Eps Sgr,18 24 10.30,-34 23 04.9,1.85
HR 2549,,06 50 52.39,-34 22 01.9,4.99
HR 6241,26Eps Sco,16 50 09.79,-34 17 35.9,2.29
HR 6334,,17 04 49.39,-34 07 22.1,4.87
HR 1956,Alp Col,05 39 38.90,-34 04 27.1,2.64
HR 8433,Ups PsA,22 08 25.99,-34 02 38.0,4.99
HR 1393,43 Eri,04 24 02.21,-34 01 00.8,3.96
HR 4874,,12 50 41.21,-33 59 57.8,4.91
HR 4552,Bet Hya,11 52 54.60,-33 54 29.2,4.28
HR 2056,Lam Col,05 53 06.89,-33 48 05.0,4.87
HR 1347,41Ups4Eri,04 17 53.69,-33 47 53.9,3.56
